218.27.165.158,80,吉林,0.118,0.023,HTTP
115.221.119.98,46970,浙江温州,0.223,0.044,HTTP
183.154.231.152,8118,浙江金华,0.161,0.032,HTTPS
114.239.144.165,808,江苏宿迁市泗阳县,0.21,0.042,HTTP
221.233.86.240,3128,湖北襄阳,1.346,0.269,HTTPS
121.12.42.81,61234,广东江门市新会区,0.219,0.043,HTTP
27.153.128.219,32559,福建莆田,0.79,0.158,HTTPS
49.85.15.10,46199,江苏泰州,0.291,0.058,HTTPS
125.109.192.248,27961,浙江温州,0.907,0.181,HTTP
124.135.37.176,8118,山东青岛,0.084,0.016,HTTPS
114.226.164.218,40601,江苏常州,1.737,0.347,HTTP
112.115.226.105,8118,云南昆明,0.363,0.072,HTTP
121.12.42.214,61234,广东江门市新会区,0.219,0.043,HTTPS
110.72.17.21,8123,广西贵港,0.345,0.069,HTTPS
222.141.15.38,8118,河南洛阳,0.105,0.021,HTTPS
175.169.177.111,80,辽宁大连,1.12,0.224,HTTPS
113.227.132.229,53281,辽宁大连,0.12,0.024,HTTPS
182.43.253.12,8118,山东,0.27,0.054,HTTPS
119.5.36.61,808,四川达州,0.74,0.148,HTTPS
110.73.2.34,8123,广西防城港,0.852,0.17,HTTP
222.133.144.170,8118,山东日照,0.101,0.02,HTTPS
115.221.112.180,45365,浙江温州,0.659,0.131,HTTPS
111.155.124.69,8123,北京,0.473,0.094,HTTP
218.85.192.139,21013,福建泉州,0.195,0.039,HTTPS
110.73.55.183,8123,广西南宁,0.323,0.064,HTTP
144.52.246.174,808,山东,0.176,0.035,HTTPS
101.65.198.218,808,浙江温州,0.928,0.185,HTTPS
110.73.30.143,8123,广西防城港,0.258,0.051,HTTP
219.155.128.119,8118,河南郑州,0.103,0.02,HTTPS
114.230.31.229,808,江苏扬州,0.439,0.087,HTTPS
117.91.246.110,25693,江苏扬州,0.847,0.169,HTTPS
114.223.38.173,8118,江苏无锡,0.214,0.042,HTTPS
115.221.119.49,31557,浙江温州,1.186,0.237,HTTPS
110.73.32.222,8123,广西防城港,1.015,0.203,HTTP
180.124.71.7,27465,江苏徐州,0.17,0.034,HTTPS
115.226.144.132,48467,浙江丽水,1.39,0.278,HTTPS
110.73.50.124,8123,广西南宁,1.701,0.34,HTTPS
110.73.2.190,8123,广西防城港,0.956,0.191,HTTP
110.72.36.78,8123,广西贵港,0.63,0.126,HTTP
116.248.172.226,80,云南怒江州,0.649,0.129,HTTPS
121.204.165.69,8118,福建厦门,0.355,0.071,HTTP
171.13.36.100,808,河南,0.173,0.034,HTTPS
122.237.107.79,80,浙江绍兴,0.176,0.035,HTTPS
110.85.89.35,8118,福建莆田,0.187,0.037,HTTP
120.42.123.100,28044,福建厦门,0.819,0.163,HTTP
183.157.187.189,808,浙江杭州,1.297,0.259,HTTPS
110.73.7.178,8123,广西防城港,0.485,0.097,HTTP
42.231.0.47,80,河南,0.16,0.032,HTTPS
115.222.4.79,80,浙江温州,0.171,0.034,HTTP
117.66.85.209,8118,安徽马鞍山,0.302,0.06,HTTP
27.159.125.250,8118,福建莆田,0.225,0.045,HTTP
114.232.3.68,37846,江苏南通,0.148,0.029,HTTPS
183.157.178.84,80,浙江杭州,0.381,0.076,HTTP
27.159.124.78,8118,福建莆田,0.445,0.089,HTTP
123.161.152.141,46850,河南许昌,1.314,0.262,HTTP
110.73.14.55,8123,广西防城港,1.124,0.224,HTTP
106.5.73.200,8123,江西,0.508,0.101,HTTPS
101.68.73.54,53281,浙江杭州,0.218,0.043,HTTP
121.236.103.6,8118,江苏苏州,0.159,0.031,HTTP
111.155.124.94,8123,北京,0.366,0.073,HTTP
112.111.201.179,8118,福建宁德,1.783,0.356,HTTPS
115.217.252.86,25098,浙江宁波,1.751,0.35,HTTP
218.14.140.153,30227,广东江门市江海区,0.182,0.036,HTTPS
125.120.73.151,8118,浙江杭州,0.359,0.071,HTTPS
183.146.13.116,26354,浙江金华,0.192,0.038,HTTPS
115.230.64.38,30304,浙江丽水,0.408,0.081,HTTPS
117.89.68.71,1080,江苏南京,0.884,0.176,HTTPS
171.126.246.54,80,UNKNOW,0.109,0.021,HTTPS
116.117.172.8,8118,内蒙古呼伦贝尔,0.166,0.033,HTTP
182.42.37.35,43948,山东,1.081,0.216,HTTP
122.230.56.138,8118,浙江湖州,0.309,0.061,HTTPS
218.73.138.105,28439,浙江温州,0.931,0.186,HTTP
27.153.128.202,27861,福建莆田,0.355,0.071,HTTPS
61.147.166.170,808,江苏镇江,0.305,0.061,HTTPS
110.73.34.2,8123,广西防城港,0.87,0.174,HTTP
27.158.126.253,808,福建,0.631,0.126,HTTPS
183.149.85.186,47976,浙江台州,1.539,0.307,HTTP
115.200.21.84,80,浙江杭州,1.143,0.228,HTTPS
113.227.141.105,80,辽宁大连,0.096,0.019,HTTP
49.87.146.87,21870,江苏淮安,0.517,0.103,HTTPS
180.127.81.191,27188,江苏连云港,1.59,0.318,HTTPS
121.12.42.190,61234,广东江门市新会区,0.435,0.087,HTTPS
182.136.117.31,8118,四川绵阳,0.365,0.073,HTTPS
119.134.111.210,8118,广东茂名,0.201,0.04,HTTPS
115.202.68.134,808,浙江台州,1.132,0.226,HTTP
112.244.55.76,8118,山东潍坊,0.543,0.108,HTTP
223.242.161.192,34387,安徽阜阳,1.064,0.212,HTTP
183.184.232.189,80,山西太原,0.076,0.015,HTTPS
1.28.244.53,80,内蒙古,0.135,0.027,HTTPS
117.68.195.122,808,安徽合肥市巢湖,0.233,0.046,HTTP
27.40.139.120,61234,广东湛江,0.258,0.051,HTTPS
27.40.149.232,61234,广东湛江,0.243,0.048,HTTP
27.40.157.48,61234,广东湛江,0.248,0.049,HTTPS
27.29.152.219,808,湖北,1.012,0.202,HTTPS
59.40.51.132,8010,广东深圳市罗湖区,1.163,0.232,HTTPS
121.12.42.241,61234,广东江门市新会区,0.229,0.045,HTTPS
27.40.139.116,61234,广东湛江,0.507,0.101,HTTPS
115.200.50.93,8118,浙江杭州,0.177,0.035,HTTPS
42.122.36.142,80,天津,0.048,0.009,HTTPS
123.55.187.191,28266,河南三门峡,1.089,0.217,HTTP
121.235.234.123,41235,江苏无锡,1.36,0.272,HTTP
27.40.158.73,61234,广东湛江,1.936,0.387,HTTPS
27.40.144.25,61234,广东湛江,1.219,0.243,HTTPS
124.166.176.108,8118,山西阳泉,0.085,0.017,HTTP
110.72.20.122,8123,广西贵港,1.454,0.29,HTTP
180.112.37.86,30089,江苏无锡,0.562,0.112,HTTPS
58.218.30.159,808,江苏徐州,0.946,0.189,HTTPS
113.89.58.169,8118,广东深圳,1.161,0.232,HTTPS
111.155.116.200,8123,北京,1.094,0.218,HTTP
110.73.28.189,8123,广西防城港,0.747,0.149,HTTP
49.87.75.58,44806,江苏淮安,0.422,0.084,HTTPS
220.174.143.193,8118,海南海口,0.305,0.061,HTTP
115.196.150.152,8118,浙江杭州,0.141,0.028,HTTPS
121.31.79.253,8123,广西梧州,0.306,0.061,HTTP
58.217.27.75,23161,江苏镇江,0.22,0.044,HTTPS
183.63.140.82,53281,广东广州,0.258,0.051,HTTPS
125.112.200.17,23806,浙江金华,1.072,0.214,HTTP
115.226.154.234,39715,浙江丽水,1.68,0.336,HTTPS
121.207.80.98,41934,福建泉州,0.202,0.04,HTTPS
171.13.37.112,808,河南,1.384,0.276,HTTP
121.12.42.23,61234,广东江门市新会区,0.253,0.05,HTTPS
49.85.13.250,20554,江苏泰州,0.958,0.191,HTTPS
219.139.185.163,808,湖北襄阳市谷城县,0.175,0.035,HTTPS
222.71.127.237,36660,上海,1.486,0.297,HTTP
116.28.171.171,808,广东湛江,0.578,0.115,HTTPS
111.197.169.66,8118,北京,0.078,0.015,HTTPS
115.217.254.238,33396,浙江宁波,0.182,0.036,HTTPS
116.208.15.26,3128,湖北襄阳,0.478,0.095,HTTPS
110.51.132.62,80,山西大同,0.086,0.017,HTTPS
110.73.0.26,8123,广西防城港,1.377,0.275,HTTP
117.69.98.77,49941,安徽宿州,1.085,0.217,HTTPS
1.85.221.97,8118,陕西西安,0.106,0.021,HTTP
122.226.68.6,63000,浙江金华,0.191,0.038,HTTP
121.205.17.249,33835,福建泉州,0.187,0.037,HTTP
183.135.254.20,20183,浙江宁波,0.445,0.089,HTTPS
123.149.162.188,42251,河南洛阳,1.208,0.241,HTTPS
180.122.156.96,21161,江苏泰州,0.429,0.085,HTTP
124.72.216.196,808,福建福州,0.259,0.051,HTTP
180.120.202.63,20347,江苏南通,0.2,0.04,HTTPS
118.72.208.182,80,山西大同,0.1,0.02,HTTPS
115.209.9.106,44609,浙江金华,1.206,0.241,HTTPS
111.137.6.73,80,北京,0.383,0.076,HTTPS
60.167.20.196,20189,安徽芜湖,1.24,0.248,HTTPS
223.245.231.70,24288,安徽蚌埠,0.28,0.056,HTTP
110.73.4.242,8123,广西防城港,0.323,0.064,HTTP
114.238.55.157,29829,江苏淮安,0.38,0.076,HTTPS
219.154.96.238,8118,河南开封,0.116,0.023,HTTP
110.73.3.53,8123,广西防城港,1.293,0.258,HTTP
180.115.5.155,29715,江苏常州,0.441,0.088,HTTPS
49.85.13.182,23744,江苏泰州,0.16,0.032,HTTPS
124.72.96.142,23073,福建泉州,0.469,0.093,HTTP
